leaf,y_mm,target_pressure_weight,target_power_fraction,tree_depth,padding_stages
1,-57.4,0.11593941601987037,0.0021790864881183875,4,0
2,-49.2,0.4500315894067127,0.03283206885805019,4,0
3,-41.0,0.3990175013586375,0.02581048350584622,3,1
4,-32.8,0.7163447381726632,0.08318717978492965,4,0
5,-24.6,0.7008448451782485,0.079626204969341,4,0
6,-16.4,0.7281942059110046,0.08596203513194435,4,0
7,-8.2,0.8212932885576412,0.10934748494699288,4,0
8,0.0,1.0,0.16211091262955446,4,0
9,8.2,0.8212932885576412,0.10934748494699288,4,0
10,16.4,0.7281942059110046,0.08596203513194435,4,0
11,24.6,0.7008448451782485,0.079626204969341,4,0
12,32.8,0.7163447381726632,0.08318717978492965,4,0
13,41.0,0.3990175013586375,0.02581048350584622,4,0
14,49.2,0.4500315894067127,0.03283206885805019,4,0
15,57.4,0.11593941601987037,0.0021790864881183875,4,0
