mmi_width_mm,symmetric_mode_count,best_length_mm,best_target_coherence
15.2,3,0.0,0.5046386697412933
16.0,3,0.0,0.5295507981541964
16.8,3,0.0,0.5463957861119004
17.6,3,0.0,0.5594881670240507
18.4,3,0.0,0.5672087918621822
19.2,3,0.0,0.5724235418621538
20.0,3,0.0,0.5743659708083827
20.8,3,0.0,0.5765567790098713
21.6,3,0.0,0.5773437682389572
22.4,3,40.2,0.630835547292858
23.2,3,348.0,0.667568806064641
24.0,3,333.0,0.6827025231058027
24.8,3,591.4,0.6750409585659191
25.6,4,555.8,0.6727693269408971
26.4,4,216.0,0.6075326825852261
27.2,4,416.2,0.5853256212463064
28.0,4,0.0,0.5994533515187853
28.8,4,0.0,0.616266701595958
29.6,4,0.0,0.6289383603421139
30.4,4,0.0,0.6380216360299777
31.2,4,0.0,0.6434482949072398
32.0,4,0.0,0.644250181680562
32.8,4,0.0,0.6431848159522341
33.6,4,0.0,0.6378950816190898
34.4,4,0.0,0.6312900639174619
35.2,4,0.0,0.6220152692599072
36.0,4,0.0,0.6093078401748094
36.8,4,0.0,0.5962746330737946
37.6,4,0.0,0.5798557775240607
38.4,6,0.0,0.5628355313295116
39.2,6,63.8,0.6241600721774246
40.0,6,0.0,0.5899758211425379
