channel,y_mm,target_pressure_relative_center,optimistic_tree_pressure_relative_center,optimistic_tree_power_fraction
1,-57.4,0.11593941601987037,0.11433896715865126,0.001865459377947249
2,-49.2,0.4500315894067127,0.45003158940671256,0.02889902999981267
3,-41.0,0.3990175013586375,0.4054327412238659,0.02345497109943191
4,-32.8,0.7163447381726632,0.7163447381726631,0.07322197131707835
5,-24.6,0.7008448451782485,0.7008448451782485,0.07008757492953421
6,-16.4,0.7281942059110046,0.7181420801749488,0.07358986688168774
7,-8.2,0.8212932885576412,0.8212932885576412,0.09624846553379454
8,0.0,1.0,1.0,0.14269122508342375
9,8.2,0.8212932885576412,0.821293288557641,0.09624846553379453
10,16.4,0.7281942059110046,0.7181420801749488,0.07358986688168774
11,24.6,0.7008448451782485,0.7008448451782483,0.07008757492953417
12,32.8,0.7163447381726632,0.716344738172663,0.07322197131707832
13,41.0,0.3990175013586375,0.3990175013586374,0.02271857860587518
14,49.2,0.4500315894067127,0.4500315894067125,0.028899029999812663
15,57.4,0.11593941601987037,0.11433896715865126,0.001865459377947249
