level,variant,left_index,right_index,amplitude_mismatch,phase_mismatch_deg
coarse,lens,1,15,0.03272378689424212,0.5045723231044698
coarse,lens,2,14,0.08036261345796546,6.246989157015407
coarse,lens,3,13,0.16877671549291973,1.5264605134758766
coarse,lens,4,12,0.04252259837045075,0.9403964417413075
coarse,lens,5,11,0.1737135534833787,4.2579959367134625
coarse,lens,6,10,0.1395565172538038,2.782787373488165
coarse,lens,7,9,0.06455023325375023,5.1206420254074505
coarse,uniform,1,15,0.014658216571703908,1.467342986752759
coarse,uniform,2,14,0.05860291863358621,1.508779579085212
coarse,uniform,3,13,0.0894994502711613,0.23774879563331006
coarse,uniform,4,12,0.03979536818258486,1.1897159980234695
coarse,uniform,5,11,0.05504010021415144,5.605344841875763
coarse,uniform,6,10,0.06055320277477063,9.640486672009203
coarse,uniform,7,9,0.06919258965778262,4.956329581781752
reference,lens,1,15,0.032729713505573625,2.1406454473418037
reference,lens,2,14,0.04270578135690316,3.0199799265435283
reference,lens,3,13,0.11361021892738465,5.58502946281525
reference,lens,4,12,0.04694192522728302,3.6533337664487906
reference,lens,5,11,0.030103627217425866,5.321677271416592
reference,lens,6,10,0.03031443608321136,4.057839026051949
reference,lens,7,9,0.07923246941035514,6.13358124812605
reference,uniform,1,15,0.017377678055263104,3.6904993752128963
reference,uniform,2,14,0.06574537849978418,6.280649521720204
reference,uniform,3,13,0.0055846697711600815,4.185186109133431
reference,uniform,4,12,0.06190178370404166,12.021211693405714
reference,uniform,5,11,0.0383551462232954,0.9729832613262707
reference,uniform,6,10,0.015413873297659931,5.19047440658836
reference,uniform,7,9,0.06267335887863752,5.488247733434316
refined,lens,1,15,0.057111680807414515,2.319237660455575
refined,lens,2,14,0.035834132565607135,0.6029250486499892
refined,lens,3,13,0.12808024737711773,3.791651415432855
refined,lens,4,12,0.0012433024902539615,0.18532246922895734
refined,lens,5,11,0.011232907429415712,1.989775764262587
refined,lens,6,10,0.0466434990347822,0.6789470386240877
refined,lens,7,9,0.014780100138238076,3.7562115057519962
refined,uniform,1,15,0.05229698356691525,2.9666397556332194
refined,uniform,2,14,0.14175626040615896,3.1974108564255483
refined,uniform,3,13,0.04397936830400016,3.3643627628813113
refined,uniform,4,12,0.08279201041075675,3.3550535724544805
refined,uniform,5,11,0.027804453658532086,2.454267789759423
refined,uniform,6,10,0.08334579704772317,5.802852222114991
refined,uniform,7,9,0.07247951144387355,2.017054204775886
