element_index,center_y_mm,target_delay_us,extra_path_mm,path_length_mm,bend_amplitude_mm,minimum_inner_radius_mm,delay_reliable,center_y_over_pitch,target_delay_cycles,extra_path_over_lambda_p,path_length_over_lambda_p,bend_amplitude_over_pitch,inner_radius_over_throat_width
1,-33.6,0.0,0.0,50.663944208799734,0.0,Inf,true,-7.000000000000001,0.0,0.0,5.239604486551084,0.0,Inf
2,-28.799999999999997,1.3639721773923303,1.4973122320516044,52.16125644085134,5.030939181951734,12.123769082102855,true,-6.0,0.33008126692894396,0.15485023938311465,5.394454725934199,1.048112329573278,7.577355676314284
3,-24.0,2.5980492800905104,2.995102750749072,53.6590469595488,7.213859839725982,8.213024607935461,true,-5.0,0.6287279257819035,0.30974994259883565,5.549354429149919,1.5028874666095797,5.133140379959663
4,-19.2,3.674019155466915,4.352131371515641,55.01607558031537,8.80085023639624,6.5877744203350295,true,-4.0,0.8891126356229934,0.45009221876358346,5.689696705314668,1.8335104659158834,4.117359012709393
5,-14.399999999999999,4.560296349367181,4.899658533512882,55.56360274231262,9.38232204786738,6.129915208828984,true,-3.0,1.1035917165468578,0.5067168226966314,5.7463213092477154,1.9546504266390374,3.831197005518115
6,-9.6,5.224327638019181,5.845791350345353,56.509735559145085,10.330834693909438,5.493653724996639,true,-2.0,1.2642872884006418,0.6045647464887075,5.844169233039791,2.1522572278978,3.433533578122899
7,-4.8,5.636759001694667,6.795889183377101,57.45983339217683,11.226948151212294,4.991306361972187,true,-1.0,1.3640956784101093,0.702822727511649,5.942427214062732,2.3389475315025616,3.1195664762326167
8,0.0,5.776763103956275,6.956533009951998,57.62047721875173,11.373832376974246,4.916516130945867,false,0.0,1.3979766711574184,0.7194363198326426,5.959040806383727,2.369548411869635,3.0728225818411667
9,4.8,5.636759001694667,6.795889183377101,57.45983339217683,11.226948151212294,4.991306361972187,true,1.0,1.3640956784101093,0.702822727511649,5.942427214062732,2.3389475315025616,3.1195664762326167
10,9.6,5.224327638019181,5.845791350345353,56.509735559145085,10.330834693909438,5.493653724996639,true,2.0,1.2642872884006418,0.6045647464887075,5.844169233039791,2.1522572278978,3.433533578122899
11,14.399999999999999,4.560296349367181,4.899658533512882,55.56360274231262,9.38232204786738,6.129915208828984,true,3.0,1.1035917165468578,0.5067168226966314,5.7463213092477154,1.9546504266390374,3.831197005518115
12,19.2,3.674019155466915,4.352131371515641,55.01607558031537,8.80085023639624,6.5877744203350295,true,4.0,0.8891126356229934,0.45009221876358346,5.689696705314668,1.8335104659158834,4.117359012709393
13,24.0,2.5980492800905104,2.995102750749072,53.6590469595488,7.213859839725982,8.213024607935461,true,5.0,0.6287279257819035,0.30974994259883565,5.549354429149919,1.5028874666095797,5.133140379959663
14,28.799999999999997,1.3639721773923303,1.4973122320516044,52.16125644085134,5.030939181951734,12.123769082102855,true,6.0,0.33008126692894396,0.15485023938311465,5.394454725934199,1.048112329573278,7.577355676314284
15,33.6,0.0,0.0,50.663944208799734,0.0,Inf,true,7.000000000000001,0.0,0.0,5.239604486551084,0.0,Inf
