variant,output_group,input_group,output_center_y_mm,input_center_y_mm,ux_amplitude_nm,ux_phase_deg
lens,1,1,0.0,0.0,36.7036070145552,104.32481785781195
lens,1,2,0.0,4.8,2.0992254646870423,170.3030631367366
lens,1,3,0.0,9.6,0.12404386827680819,-75.30931373436061
lens,1,4,0.0,14.399999999999999,0.6979505922662187,-162.68246658762178
lens,1,5,0.0,19.2,0.3840130256080695,-3.10153119023152
lens,1,6,0.0,24.0,0.27721158697400494,52.08965239068755
lens,1,7,0.0,28.799999999999997,0.3196009928800147,-157.00603900657316
lens,1,8,0.0,33.6,0.2596370201326952,-30.435268608751056
lens,2,1,4.8,0.0,1.148068285137491,156.8868882893126
lens,2,2,4.8,4.8,41.101621089499695,122.79610520879393
lens,2,3,4.8,9.6,1.5156089250315092,-170.39585183683113
lens,2,4,4.8,14.399999999999999,0.1981890329094811,-122.74705927637704
lens,2,5,4.8,19.2,0.6271451729442622,-65.23078855707726
lens,2,6,4.8,24.0,0.42121647933988426,91.47783346834512
lens,2,7,4.8,28.799999999999997,0.25850388433025895,170.333890765602
lens,2,8,4.8,33.6,0.38489245409915296,-16.221929415719302
lens,3,1,9.6,0.0,0.01653415981826062,57.19718325632656
lens,3,2,9.6,4.8,1.4219001571471408,152.41866432533254
lens,3,3,9.6,9.6,41.320195867530266,158.99683080996482
lens,3,4,9.6,14.399999999999999,1.5888215227808642,-98.07097107277828
lens,3,5,9.6,19.2,0.1967677210221129,-44.51880692576916
lens,3,6,9.6,24.0,0.41347064311546644,28.27338656269331
lens,3,7,9.6,28.799999999999997,0.27756423008737646,-149.04034169854046
lens,3,8,9.6,33.6,0.1802755751068269,-80.71076659585056
lens,4,1,14.399999999999999,0.0,0.33603188514823756,95.51808792429657
lens,4,2,14.399999999999999,4.8,0.1827125076924427,136.58462871196065
lens,4,3,14.399999999999999,9.6,1.5712582155102113,-152.6072612192525
lens,4,4,14.399999999999999,14.399999999999999,44.55312193485765,-145.86636285519674
lens,4,5,14.399999999999999,19.2,1.4222196374375589,-18.492323241413303
lens,4,6,14.399999999999999,24.0,0.21605871619957467,98.51515761459129
lens,4,7,14.399999999999999,28.799999999999997,0.40302793807398657,132.91060528163345
lens,4,8,14.399999999999999,33.6,0.26470624298350337,-58.96081830955527
lens,5,1,19.2,0.0,0.17821268535690504,171.0144548968036
lens,5,2,19.2,4.8,0.5518958132484888,128.3207636720316
lens,5,3,19.2,9.6,0.14658465410327176,-176.16915799091467
lens,5,4,19.2,14.399999999999999,1.3741068416407647,-93.82967629801253
lens,5,5,19.2,19.2,46.066644263143424,-73.14978300578652
lens,5,6,19.2,24.0,1.1558261141246595,49.04235742405627
lens,5,7,19.2,28.799999999999997,0.26941275865446096,63.23750974543885
lens,5,8,19.2,33.6,0.7244507009624768,-139.24969445337967
lens,6,1,24.0,0.0,0.12439498198860764,146.307483737922
lens,6,2,24.0,4.8,0.3473583006712885,-166.7931597432139
lens,6,3,24.0,9.6,0.35646561197241694,167.49125502428697
lens,6,4,24.0,14.399999999999999,0.1657191547064265,-74.94502011686353
lens,6,5,24.0,19.2,1.0579157684981149,-37.891639905560304
