channel_index,center_y_mm,v1_amplitude_nm,v1_phase_deg,v1_phase_error_deg,v0_amplitude_nm,v0_phase_deg,v0_phase_error_deg,target_delay_us,center_y_over_pitch,target_delay_cycles
1,-33.6,53.19474115649403,-155.86274228116469,0.0,52.20257033174161,-157.0724203242415,0.0,0.0,-7.000000000000001,0.0
2,-28.799999999999997,48.34686006845411,128.21653945502678,42.90853783061129,45.599678312154616,87.82456009305643,3.7262365117177625,1.3639721773923303,-6.0,0.33008126692894396
3,-24.0,44.677767624202204,54.33984564701886,76.54464120966881,41.15299681163598,-15.63414302811666,7.780330577610161,2.5980492800905104,-5.0,0.6287279257819035
4,-19.2,43.1227076639028,-12.335656586518198,103.60763451892412,39.41257981039057,-105.18848464245248,11.964484506066645,3.674019155466915,-4.0,0.8891126356229934
5,-14.399999999999999,43.86542726104971,-41.361509539226276,151.7942506988072,38.51156551523405,-177.20753598713142,17.157902293978875,4.560296349367181,-3.0,1.1035917165468578
6,-9.6,43.142356713125494,-85.93274259011139,165.07342351528433,37.36763695035165,127.80449220991213,20.02033635838468,5.224327638019181,-2.0,1.2642872884006418
7,-4.8,40.60033667592422,-130.9319984933298,156.00518801547432,37.221190982953225,95.72951933955183,23.87638389143265,5.636759001694667,-1.0,1.3640956784101093
8,0.0,37.838872119333814,-140.2151003222454,158.91924357559,33.03178617957916,80.34878747284337,20.692809413755533,5.776763103956275,0.0,1.3979766711574184
9,4.8,40.60033667592422,-130.9319984933298,156.00518801547432,37.221190982953225,95.72951933955183,23.87638389143265,5.636759001694667,1.0,1.3640956784101093
10,9.6,43.142356713125494,-85.93274259011139,165.07342351528433,37.36763695035165,127.80449220991213,20.02033635838468,5.224327638019181,2.0,1.2642872884006418
11,14.399999999999999,43.86542726104971,-41.361509539226276,151.7942506988072,38.51156551523405,-177.20753598713142,17.157902293978875,4.560296349367181,3.0,1.1035917165468578
12,19.2,43.1227076639028,-12.335656586518198,103.60763451892412,39.41257981039057,-105.18848464245248,11.964484506066645,3.674019155466915,4.0,0.8891126356229934
13,24.0,44.677767624202204,54.33984564701886,76.54464120966881,41.15299681163598,-15.63414302811666,7.780330577610161,2.5980492800905104,5.0,0.6287279257819035
14,28.799999999999997,48.34686006845411,128.21653945502678,42.90853783061129,45.599678312154616,87.82456009305643,3.7262365117177625,1.3639721773923303,6.0,0.33008126692894396
15,33.6,53.19474115649403,-155.86274228116469,0.0,52.20257033174161,-157.0724203242415,0.0,0.0,7.000000000000001,0.0
