frequency_hz,selected_focus_ux_real_m,selected_focus_ux_imag_m,selected_focus_ux_abs_m,uniform_focus_ux_real_m,uniform_focus_ux_imag_m,uniform_focus_ux_abs_m,relative_amplitude,relative_phase_rad,relative_group_delay_s
162200.0,-1.5450226344283492e-8,1.7441902131880532e-8,2.3300846423846716e-8,2.8968972477033096e-9,2.651498431483816e-8,2.6672765264963898e-8,0.8735819549408932,0.8337437325573782,4.11609467750597e-6
178160.0,2.2968499767397425e-8,1.9947187907330195e-8,3.0421082935610224e-8,1.640860127217806e-8,4.970426083362414e-9,1.714489227611223e-8,1.77435252702028,0.4209832503707549,3.7462417762157975e-6
194120.0,1.466417465874443e-8,-2.626154511334145e-8,3.007834387332904e-8,9.595600374890083e-9,-2.109722166426916e-8,2.3176891692069035e-8,1.297772983234919,0.08240019792544917,2.1584095992466976e-6
202100.0,-1.0560721431167696e-8,-2.532139653072442e-8,2.7435414329164183e-8,-1.0861774423791694e-8,-2.029288147563584e-8,2.3016932511034993e-8,1.1919665800823303,0.09631645207891326,-1.055096201391162e-6
210080.0,-2.2139837739963532e-8,-8.632725095796816e-9,2.376334062650943e-8,-2.098416425125232e-8,-3.896144300509255e-9,2.1342799482118706e-8,1.113412542080934,0.18820486253131063,-2.259002828248229e-6
218060.0,-2.0624724004661417e-8,7.964090965113805e-9,2.210895712531607e-8,-1.3817273814882619e-8,1.1435342369738445e-8,1.7935554376393727e-8,1.2326888068993984,0.3228484368129627,-9.276768577988944e-7
226040.0,-8.859135428367604e-9,1.9311159777527056e-8,2.12462978537753e-8,-2.176668288618489e-9,1.4512044353361233e-8,1.467437617592656e-8,1.4478501572441649,0.281231961550922,1.6404495137649768e-6
234020.0,7.268080723369602e-9,2.00245823869098e-8,2.130279083058262e-8,6.114316335453322e-9,1.1020875706044374e-8,1.2603355330151984e-8,1.690247578723604,0.158344754231317,3.650300157354027e-6
242000.0,1.929644443991872e-8,8.39712824548391e-9,2.104434676567495e-8,1.133584932383517e-8,6.123321494867441e-9,1.2883964685693604e-8,1.6333750735162027,-0.08481881500417332,3.4862133999392687e-6
249970.0,1.9048861329149178e-8,-8.96863490240072e-9,2.105458453519602e-8,1.4914268711438785e-8,-3.792387851925676e-9,1.5388879647863758e-8,1.3681687697205924,-0.1910324165231292,4.3425416508705146e-7
257940.0,5.6448753806212165e-9,-1.8711093900954136e-8,1.954404392732135e-8,7.0439241556355e-9,-1.5717800235895378e-8,1.7223998135330198e-8,1.134698446537348,-0.12831109527529794,-2.3350558739324755e-6
265910.0,-9.00499437204025e-9,-1.713928353649773e-8,1.9360913299349767e-8,-8.931610446332694e-9,-1.5363549637875316e-8,1.7771109212440796e-8,1.089460036956839,0.042832708287933396,-2.9230457660094504e-6
273880.0,-1.9679491341664723e-8,-4.72857184631209e-9,2.0239608967872678e-8,-1.7206441514133945e-8,-1.2300330677728923e-9,1.725035103779418e-8,1.17328678839806,0.1644435537794151,-1.7797623342987047e-6
281850.0,-1.609409046806113e-8,1.2826415274188431e-8,2.058000672449041e-8,-9.750849162412955e-9,1.2136593537278035e-8,1.5568428375312274e-8,1.321906503878405,0.2210829784811814,-5.265925607765912e-7
289820.0,3.9845834922897376e-10,2.059352435392167e-8,2.0597378822841396e-8,3.2144601658924107e-9,1.333567317002774e-8,1.3717613970946507e-8,1.50152780698349,0.21718389131283544,1.223251972622171e-6
305760.0,1.8823518602375728e-8,-7.944683894495468e-9,2.043141832466461e-8,1.0769826324382463e-8,-5.02676679631368e-9,1.188518167643571e-8,1.7190665553874696,0.037312659462509945,8.608577566041505e-7
321700.0,-1.3630637799748986e-8,-1.0854756291059288e-8,1.7424695720908214e-8,-1.0463343029119683e-8,-7.593202707282732e-9,1.2928196885061477e-8,1.347805566067952,0.0447472409180425,-7.423151746972042e-8
