y_mm,selected_scattered_ux_m,uniform_scattered_ux_m,selected_scattered_total_m,uniform_scattered_total_m
-30.0,1.7093261551673073e-9,1.7472745994806136e-9,5.652563269178216e-9,3.3723212445148167e-9
-28.0,1.917414741584349e-9,2.2537240229317647e-9,5.40591364132844e-9,3.370703619909155e-9
-26.0,3.6587865054833448e-9,2.8146500744119995e-9,5.537343809236106e-9,3.509327325749102e-9
-24.0,5.53650313436449e-9,3.5012190871207215e-9,6.423661209207917e-9,3.847923049984557e-9
-22.0,6.463840403513071e-9,4.121559821909136e-9,6.9734464523747006e-9,4.263583196943889e-9
-20.0,6.246286205057149e-9,4.41015558224368e-9,6.4859784314979375e-9,4.463774650774592e-9
-18.0,5.539917306356283e-9,4.482608896498439e-9,5.552466672291331e-9,4.5256862288914215e-9
-16.0,5.138012071373471e-9,4.3839632213580495e-9,5.356130684470557e-9,4.485962611510274e-9
-14.0,5.316739637160648e-9,4.19517075080388e-9,6.025091481038017e-9,4.422109031907911e-9
-12.0,5.665093801168305e-9,3.9416778238127064e-9,6.521838074345522e-9,4.3151873750350475e-9
-10.0,5.8432321137603804e-9,3.651043173352205e-9,6.453106806478109e-9,4.131632026126103e-9
-8.0,5.7168022281674824e-9,3.3762148668005893e-9,6.101839834729553e-9,3.883419580927406e-9
-6.0,5.4235759666704264e-9,3.251512629312291e-9,5.844661085734003e-9,3.674651057607746e-9
-4.0,5.1632101584647365e-9,3.2072302151632033e-9,5.598191605167387e-9,3.469722317687027e-9
-2.0,5.200452207798511e-9,3.2623579352652507e-9,5.382887636590233e-9,3.3421012826453407e-9
0.0,5.275064942239874e-9,3.287359399711657e-9,5.275067829715838e-9,3.287366131707023e-9
2.0,5.208318368731156e-9,3.267740401742186e-9,5.390683055228458e-9,3.346617155403871e-9
4.0,5.211817963561762e-9,3.2428529590115702e-9,5.642131084910356e-9,3.502120598830505e-9
6.0,5.4160536219172745e-9,3.2340013614110742e-9,5.843273915157418e-9,3.6680540475090014e-9
8.0,5.730134119230921e-9,3.388690903933414e-9,6.125061859705051e-9,3.898833132881838e-9
10.0,5.813220878257764e-9,3.625299628443482e-9,6.432627475711365e-9,4.108369713298992e-9
12.0,5.647784753494225e-9,3.940163718372975e-9,6.499241611153867e-9,4.309749174722688e-9
14.0,5.312869891967362e-9,4.192371778762574e-9,6.014828391383949e-9,4.4208576576877526e-9
16.0,5.1504980198707905e-9,4.390687997438438e-9,5.364722008789909e-9,4.491814151288783e-9
18.0,5.553867422525039e-9,4.481971478439375e-9,5.5673703117815046e-9,4.524841549141364e-9
20.0,6.268953678746224e-9,4.421247497915269e-9,6.506155668164208e-9,4.4737933581327045e-9
22.0,6.472698230290613e-9,4.106200392482075e-9,6.9798359909092215e-9,4.25189025405279e-9
24.0,5.5102263715151576e-9,3.532041100276833e-9,6.4227696054671006e-9,3.8873337878798015e-9
26.0,3.6393068548271516e-9,2.808969656377836e-9,5.519749094224054e-9,3.500467783960179e-9
28.0,1.906159298953384e-9,2.251073739914873e-9,5.396201032249857e-9,3.363942491955095e-9
30.0,1.6983357248988805e-9,1.7524006607107886e-9,5.640888648596953e-9,3.359723404453852e-9
