matching_thickness_mm,focus_longitudinal_amplitude_m,local_peak_amplitude_m,local_peak_x_mm,local_peak_y_mm
0.0,1.2579619011505546e-8,1.4865585718018534e-8,48.0,-8.0
1.0,1.3567478786958446e-8,1.6250974629955227e-8,65.0,0.0
1.25,1.380845880773528e-8,1.653059040107466e-8,65.25,0.0
1.4,1.4094908845704524e-8,1.7070063141849428e-8,63.400000000000006,0.0
1.5,1.3983488846385394e-8,1.7115939320375998e-8,65.5,0.0
1.6,1.4018483827432154e-8,1.7508285560996444e-8,65.6,0.0
1.75,1.3935668788446998e-8,1.7989277544389397e-8,63.75,0.0
2.0,1.3763566985052358e-8,1.8828034482032285e-8,64.0,0.0
2.25,1.3001941359923022e-8,2.0009309458681285e-8,62.25,0.0
3.0,1.1300767661367756e-8,2.2344881143539485e-8,59.0,0.0
3.5,1.1092787674322026e-8,2.3460084622569345e-8,35.5,0.0
4.0,1.0997321275330467e-8,2.572938570621789e-8,36.0,0.0
5.0,8.5001130131257e-9,2.433674138979993e-8,71.0,8.0
